frame,t,rx,ry,rz,qx,qy,qz,qw,roll,pitch,yaw,pgz,lv_norm,av_norm,rlv_x,rlv_y,rlv_z,rav_x,rav_y,rav_z,dof_vel_max,dof_pos_err_max,tau_max,tau_sat_ratio,L_fz_norm,R_fz_norm,top_cf_name,top_cf_val,non_foot_cf_sum,bz_min,bz_min_name,L_box_bot,R_box_bot,apparent_force_norm,apparent_force_z
21,0.42,-3.4924596548080444e-10,-1.6370904631912708e-11,-0.48039135336875916,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,4.1201963,8.242775e-07,-1.8983055e-08,4.6009475e-08,-4.1201963,7.930636e-07,1.2064848e-07,1.8954536e-07,5.621974651148776e-06,1.1653929732347024e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.85883665,left_ankle_roll_link,-0.8788366508483887,-0.8788349223136902,160.33467,-160.33467
22,0.44,-3.4924596548080444e-10,4.9112713895738125e-11,-0.5650023818016052,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,4.3163977,8.1953743e-07,-1.8908558e-08,5.0326726e-08,-4.3163977,7.846633e-07,1.2303272e-07,2.0200989e-07,5.968351615592837e-06,1.281628669858037e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.9434477,left_ankle_roll_link,-0.9634477090835571,-0.9634459209442139,160.33525,-160.33525
23,0.46,-3.4924596548080444e-10,2.0190782379359007e-10,-0.6535375714302063,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,4.512599,8.1054606e-07,-1.71949e-08,5.4711496e-08,-4.512599,7.7630006e-07,1.0693953e-07,2.0714026e-07,6.341372682072688e-06,1.4051921652935562e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-1.0319829,left_ankle_roll_link,-1.0519828987121582,-1.0519809913635254,160.33525,-160.33525
24,0.48,-3.4924596548080444e-10,1.2187229003757238e-10,-0.7459969520568848,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,4.7088003,8.0944255e-07,-1.4587148e-08,5.8960648e-08,-4.7088003,7.754991e-07,9.144229e-08,2.13159e-07,6.581173238373594e-06,1.5349502291428507e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-1.1244422,left_ankle_roll_link,-1.144442219734192,-1.1444404315948487,160.33525,-160.33525
25,0.5,-3.4924596548080444e-10,-4.547473508864641e-11,-0.8423799276351929,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,4.9050016,8.1255007e-07,-1.36185765e-08,6.316582e-08,-4.9050016,7.7803236e-07,8.7866e-08,2.1721611e-07,6.927550202817656e-06,1.6703035043974523e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-1.2208252,left_ankle_roll_link,-1.2408251953125,-1.2408232879638672,160.33525,-160.33525
26,0.52,-1.7462298274040222e-09,1.2389136827550828e-08,-0.9426868557929993,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,5.101203,8.2403585e-07,-1.2917923e-08,6.5831024e-08,-5.101203,7.832177e-07,7.52777e-08,2.4482318e-07,7.247283065225929e-06,1.8127844896298484e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-1.3211323,left_ankle_roll_link,-1.3411323022842407,-1.3411302757263184,160.33525,-160.33525
27,0.54,-1.979060471057892e-09,2.8861904866062105e-08,-1.0469181537628174,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,5.2974043,9.0236165e-07,-1.1874803e-08,6.702423e-08,-5.2974043,8.645965e-07,6.931716e-08,2.4884656e-07,7.500406354665756e-06,1.9602946395025356e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-1.4253637,left_ankle_roll_link,-1.4453636598587036,-1.4453618717193604,160.33525,-160.33525
28,0.56,-1.979060471057892e-09,2.8803697205148637e-08,-1.1550740003585815,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,5.4936056,9.835794e-07,-1.0682703e-08,6.815809e-08,-5.4936056,9.5340727e-07,5.5012066e-08,2.3540763e-07,7.820141036063433e-06,2.113900109179667e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-1.5335195,left_ankle_roll_link,-1.5535195064544678,-1.5535177183151245,160.33525,-160.33525
29,0.58,-1.0477378964424133e-09,2.8941940399818122e-08,-1.2671537399291992,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,5.689807,1.0673089e-06,-1.1651277e-08,6.931466e-08,-5.689807,1.0419388e-06,5.5012016e-08,2.2468929e-07,8.206487109418958e-06,2.2745332444173982e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-1.6455992,left_ankle_roll_link,-1.6655992460250855,-1.6655974578857422,160.33525,-160.33525
30,0.6,-1.0477378964424133e-09,2.8985596145503223e-08,-1.3831570148468018,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,5.8860083,1.151719e-06,-1.3141416e-08,7.0455535e-08,-5.8860083,1.1306008e-06,5.978034e-08,2.112457e-07,8.632800017949194e-06,2.443459152345895e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-1.7616025,left_ankle_roll_link,-1.781602520942688,-1.7816007328033447,160.33525,-160.33525
