frame,t,rz,pgz,lv_norm,av_norm,dof_pos_err_max,dof_vel_max,tau_max,tau_sat,saturated_joints,L_fz,R_fz,non_foot_cf_sum,top_cf_name,top_cf_val,knee_L,knee_R,knee_L_vel,knee_R_vel,knee_L_tau,knee_R_tau,knee_hit_limit,bz_min
63,1.26,0.16373789310455322,-0.49958607000853483,0.9318126,10.229608,1.877983570098877,36.212379455566406,36.0,0.9545454545454546,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,161.0133,265.3702926635742,right_knee_link,209.00732,1.8354705572128296,1.44418203830719,-8.4761381149292,-12.720620155334473,-36.0,-36.0,False,-0.15022393
64,1.28,0.18414369225502014,-0.5790425381577577,0.80554366,19.09447,1.5577012300491333,36.2251091003418,36.0,1.0,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,0.0,0,pelvis,0.0,1.9821826219558716,1.7279304265975952,20.282424926757812,34.56928253173828,36.0,36.0,False,-0.13996622
65,1.3,0.1867002546787262,-0.5175472103270309,0.7455236,10.835359,2.0843653678894043,36.533504486083984,36.0,1.0,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,0.0,0,pelvis,0.0,1.8751546144485474,1.664655327796936,-6.460932731628418,-18.647071838378906,-36.0,-36.0,False,-0.15390697
66,1.32,0.20100697875022888,-0.6601295561324836,0.8022028,18.224686,1.822104811668396,36.48712158203125,36.0,0.9090909090909091,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,0.0,0,pelvis,0.0,1.9018080234527588,1.9784793853759766,13.046490669250488,32.28857421875,36.0,36.0,False,-0.13890964
67,1.34,0.1894400268793106,-0.37701073911935623,1.6545037,22.137354,2.449430465698242,36.45342254638672,36.0,0.9545454545454546,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,0.0,0,pelvis,0.0,1.8497350215911865,1.8280465602874756,-1.0304968357086182,-30.71184730529785,-36.0,-36.0,False,-0.15153217
68,1.36,0.20006974041461945,-0.618288704891313,0.25443825,22.094208,1.9925494194030762,36.3443603515625,36.0,0.9545454545454546,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,0.0,261.7846374511719,torso_link,261.78464,1.2863423824310303,2.125274181365967,-30.807519912719727,19.440452575683594,-36.0,36.0,False,-0.13667601
69,1.3800000000000001,0.18582548201084137,-0.331235273762589,1.8054686,12.398379,2.493093252182007,36.03374099731445,36.0,1.0,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,0.0,0,pelvis,0.0,1.0583735704421997,1.9148879051208496,15.623247146606445,-22.050437927246094,36.0,-36.0,False,-0.15520121
70,1.4000000000000001,0.1906629353761673,-0.588576541035069,0.65661937,23.5231,2.171699047088623,35.87190246582031,36.0,0.9090909090909091,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,0.0,0,pelvis,0.0,0.5204094052314758,2.3200180530548096,-31.46293830871582,18.930727005004883,-36.0,36.0,False,-0.13702875
71,1.42,0.16530126333236694,-0.344274793665706,2.2804828,24.295462,2.6849477291107178,36.194217681884766,36.0,0.9545454545454546,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,0.0,0,pelvis,0.0,0.48382502794265747,2.1889772415161133,25.93891716003418,-28.015663146972656,36.0,-36.0,False,-0.1670484
72,1.44,0.16925646364688873,-0.5015315054519363,0.36422464,25.132305,2.4795970916748047,36.619319915771484,36.0,1.0,"left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_roll_joint,waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint",0.0,0.0,923.9121704101562,torso_link,923.9122,-4.005771188531071e-05,2.4427409172058105,-0.4516777992248535,0.0001716017723083496,-36.0,36.0,True,-0.15378968
