frame,t,rz,pgz,lv_norm,av_norm,dof_vel_max,dof_pos_err_max,tau_max,tau_norm,top_cf_name,top_cf_val,non_foot_cf_sum,apparent_force_norm,wrote_act
14,0.28,0.3863804042339325,0.988576823148767,0.8467135,24.351896,36.07819366455078,1.4633653163909912,36.0,116.573784,right_ankle_roll_link,216.98477,0,1419.0133,True
15,0.3,0.38453230261802673,0.9715787904764919,1.1898662,27.030659,36.08218002319336,1.0843100547790527,36.0,116.59567,pelvis,0.0,0,1532.9572,True
16,0.32,0.3787788450717926,0.9911628548406571,1.2710073,18.492903,35.97673797607422,1.3632981777191162,36.0,110.551125,right_ankle_roll_link,428.39438,0,1670.4574,True
17,0.34,0.3727886378765106,0.9799796687753529,1.765803,31.521141,36.56110382080078,1.118104887008667,36.0,108.34176,left_ankle_roll_link,331.25494,0,2366.4392,True
18,0.36,0.3659975230693817,0.9750194260093927,1.169229,11.138031,36.20024871826172,1.3364555835723877,36.0,112.211845,pelvis,0.0,0,2167.9233,True
19,0.38,0.35518836975097656,0.9571710957242343,1.7597934,28.909985,37.04248809814453,1.16066153049469,36.0,119.67032,pelvis,0.0,0,2148.8218,True
20,0.4,0.3424626588821411,0.9549949117726502,1.620874,15.152904,34.7393798828125,1.1924411058425903,36.0,111.841095,right_ankle_roll_link,726.4032,0,2302.6604,True
21,0.42,0.33395493030548096,0.934162233594388,0.82638866,30.155333,36.045352935791016,1.1587399244308472,36.0,114.60176,pelvis,0.0,0,1639.5657,True
22,0.44,0.3352174460887909,0.9016058244567082,1.0790104,15.08065,36.61947250366211,1.283801794052124,36.0,119.53387,right_ankle_roll_link,623.7977,0,1091.2843,True
23,0.46,0.3343123197555542,0.815272193205526,1.1212596,26.62502,36.45133972167969,1.320703387260437,36.0,111.3801,pelvis,0.0,0,1555.6959,True
24,0.48,0.3295246660709381,0.8225603183309125,1.0823356,21.099916,36.67542266845703,1.4198689460754395,36.0,115.99739,right_ankle_roll_link,495.9014,0,1317.9999,True
25,0.5,0.32091861963272095,0.7447575941792444,1.2734004,20.436314,36.310977935791016,1.5156733989715576,36.0,109.02879,pelvis,0.0,0,1134.9526,True
26,0.52,0.31137776374816895,0.7656635675733554,1.539075,19.7243,36.34046173095703,1.4554284811019897,36.0,110.80636,right_ankle_roll_link,209.20215,0,1458.8878,True
27,0.54,0.3020525872707367,0.7042628265207536,1.9119802,11.271393,36.252925872802734,1.5711320638656616,36.0,105.4715,pelvis,0.0,0,1745.793,True
28,0.56,0.28654709458351135,0.6361552246221044,1.3379031,18.325611,36.430809020996094,1.4838818311691284,36.0,112.69343,right_ankle_roll_link,168.24934,0,1332.488,True
29,0.58,0.27006855607032776,0.6708939152896689,2.035118,8.641073,36.4683952331543,1.5103381872177124,36.0,104.16983,right_ankle_roll_link,201.14508,0,1279.081,True
30,0.6,0.263649582862854,0.5878009334241127,1.4047817,16.38414,36.36124801635742,1.5081013441085815,36.0,111.694,right_ankle_roll_link,82.25592,0,2329.0867,True
31,0.62,0.24813145399093628,0.5686718166212485,2.625388,21.240894,36.4814453125,1.5025185346603394,36.0,113.765175,right_ankle_roll_link,94.25718,0,2863.36,True
32,0.64,0.24273525178432465,0.518040755521985,1.1104319,16.542356,36.47144317626953,1.3324984312057495,36.0,126.57427,pelvis,0.0,0,2820.93,True
33,0.66,0.23376235365867615,0.4056467955445182,2.1260636,24.306929,37.000308990478516,1.472050428390503,36.0,117.35523,pelvis,0.0,0,2446.8218,True
34,0.68,0.20786425471305847,0.43825102219866885,1.160907,13.924876,36.230194091796875,1.0102083683013916,36.0,104.23314,pelvis,0.0,0,867.4088,True
35,0.7000000000000001,0.18201927840709686,0.3389925015691162,1.927963,33.553673,37.41805648803711,1.4220677614212036,36.0,109.178154,left_ankle_roll_link,170.83743,0,836.44965,True
36,0.72,0.16173966228961945,0.2752735811120033,0.8490682,24.73531,36.45355224609375,1.2309825420379639,36.0,119.7765,left_knee_link,1531.6879,1531.6878662109375,951.66437,True
