frame,t,rz,pgz,lv_norm,av_norm,dof_vel_max,dof_pos_err_max,tau_max,tau_norm,top_cf_name,top_cf_val,non_foot_cf_sum,apparent_force_norm,wrote_act
48,0.96,-4.142282962799072,1.0,9.417604,1.410043e-06,1.2389682524371892e-05,6.332377779472154e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
49,0.98,-4.332841873168945,1.0,9.613802,1.3858852e-06,1.254954986507073e-05,6.582003152288962e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
50,1.0,-4.5273261070251465,1.0,9.809999,1.4644102e-06,1.2682772648986429e-05,6.834458872617688e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
51,1.02,-4.725732803344727,1.0,10.006197,1.5457755e-06,1.2762706319335848e-05,7.088580787240062e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
52,1.04,-4.928063869476318,1.0,10.2023945,1.6264581e-06,1.2842639989685267e-05,7.344836376432795e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
53,1.06,-5.134320259094238,1.0,10.398592,1.7501604e-06,1.2975862773600966e-05,7.6026890383218415e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
54,1.08,-5.3444976806640625,1.0,10.5947895,1.8869675e-06,1.3082441000733525e-05,7.863675818953197e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
55,1.1,-5.558602333068848,1.0,10.790987,1.9764434e-06,1.3135730114299804e-05,8.125915883283596e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
56,1.12,-5.776630401611328,1.0,10.987185,2.0583673e-06,1.3268952898215503e-05,8.389760296267923e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
57,1.1400000000000001,-5.99858283996582,1.0,11.183382,2.0872264e-06,1.345546479569748e-05,8.657075341034215e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
58,1.16,-6.224455833435059,1.0,11.37958,2.1181302e-06,1.3668621249962598e-05,8.928581337386277e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
59,1.18,-6.454254627227783,1.0,11.575777,2.1679953e-06,1.3841810869053006e-05,9.20378715818515e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
60,1.2,-6.687978267669678,1.0,11.771975,2.2202935e-06,1.4028322766534984e-05,9.482823770667892e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
61,1.22,-6.925622940063477,1.0,11.968172,2.2368415e-06,1.4241479220800102e-05,9.765785762283485e-06,0.0,0.0,pelvis,0.0,0,160.33214,True
62,1.24,-7.1671929359436035,1.0,12.16437,2.2467073e-06,1.436137972632423e-05,1.0051981917058583e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
63,1.26,-7.412685394287109,1.0,12.360567,2.1653407e-06,1.4481280231848359e-05,1.0340539120079484e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
64,1.28,-7.662104606628418,1.0,12.556765,2.164582e-06,1.4587858458980918e-05,1.063136642187601e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
65,1.3,-7.915449142456055,1.0,12.752962,2.1964336e-06,1.4694436686113477e-05,1.0924387424893212e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
66,1.32,-8.172717094421387,1.0,12.94916,2.3567616e-06,1.4747725799679756e-05,1.1219009138585534e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
67,1.34,-8.433910369873047,1.0,13.145357,2.6208634e-06,1.4801014913246036e-05,1.1514434845594224e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
68,1.36,-8.699023246765137,1.0,13.341555,2.8534423e-06,1.4907593140378594e-05,1.1811650438176002e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
69,1.3800000000000001,-8.968062400817871,1.0,13.537752,3.0968135e-06,1.5014171367511153e-05,1.2111005162296351e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
70,1.4000000000000001,-9.24102783203125,1.0,13.73395,3.336392e-06,1.5120749594643712e-05,1.2412488104018848e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
